VEHICLE_ID,MODEL_YEAR,UK_MODEL,NHTSA_MODEL,VEHICLE_DESCRIPTION,OVERALL_RATING,FRONT_CRASH_RATING,SIDE_CRASH_RATING,ROLLOVER_RATING,ROLLOVER_POSSIBILITY,COMPLAINTS_COUNT,RECALLS_COUNT,INVESTIGATION_COUNT,ELECTRONIC_STABILITY_CONTROL,FORWARD_COLLISION_WARNING,LANE_DEPARTURE_WARNING
6370,2012," E Class",E-CLASS,2012 Mercedes-Benz E-Class 4 DR RWD,,,,5,0.099,233,7,2,Standard,Optional,Optional
6368,2012," E Class",E-CLASS,2012 Mercedes-Benz E-Class 2 DR RWD,,,,,0,233,7,2,Standard,Optional,Optional
6377,2012," G Class",G-CLASS,2012 Mercedes-Benz G-Class SUV AWD,,,,,0,0,0,0,Standard,No,No
6748,2012," S Class",S-CLASS,2012 Mercedes-Benz S-Class 4 DR AWD,,,,,0,14,3,0,Standard,Optional,Optional
6365,2012," S Class",S-CLASS,2012 Mercedes-Benz S-Class 4 DR RWD,,,,,0,14,3,0,Standard,Optional,Optional
2162,2007," C Class",C-CLASS,2007 Mercedes-Benz C-Class 4-DR. w/SAB,,,,,0,280,6,1,Standard,No,No
2238,2007," CLS Class",CLS-CLASS,2007 Mercedes-Benz CLS 4-DR. w/SAB,,,,,0,40,4,0,Standard,No,No
2354,2007," E Class",E-CLASS,2007 Mercedes-Benz E-Class Wagon 4-DR. w/SAB,,,,,0,435,7,1,Standard,No,No
2163,2007," E Class",E-CLASS,2007 Mercedes-Benz E-Class 4-DR. w/SAB,,,,,0,435,7,1,Standard,No,No
2245,2007," GL Class",GL-CLASS,2007 Mercedes-Benz GL-Class 4-DR w/SAB,,,,,0,123,4,0,Standard,No,No
2242,2007," R Class",R-CLASS,2007 Mercedes-Benz R-Class 4-DR. w/SAB,,,,,0,67,5,0,Standard,No,No
2240,2007," SL CLASS",SL-CLASS,2007 Mercedes-Benz SL-Class Convertible w/SAB,,,,,0,21,2,0,Standard,No,No
5840,2010," C Class",C-CLASS,2010 Mercedes-Benz C-Class 4-DR. w/SAB,,,,4,0.105,476,7,2,Standard,No,No
5850,2010," E Class",E-CLASS,2010 Mercedes-Benz E-Class 2-DR. w/SAB,,,,,0,256,6,2,Standard,Optional,Optional
5843,2010," E Class",E-CLASS,2010 Mercedes-Benz E-Class 4-DR. w/SAB,,,,5,0.099,256,6,2,Standard,Optional,Optional
5847,2010," S Class",S-CLASS,2010 Mercedes-Benz S-Class 4-DR w/SAB,,,,,0,33,0,0,Standard,Optional,Optional
5848,2010," SL CLASS",SL-CLASS,2010 Mercedes-Benz SL-Class Convertible w/SAB,,,,,0,0,0,0,Standard,No,No
7750,2013," C Class",C-CLASS,2013 Mercedes-Benz C-Class 2 DR 4WD,,,,,0,571,7,1,Standard,Optional,Optional
7738,2013," C Class",C-CLASS,2013 Mercedes-Benz C-Class 2 DR RWD,,,,,0,571,7,1,Standard,Optional,Optional
7244,2013," C Class",C-CLASS,2013 Mercedes-Benz C-Class 4 DR AWD,5,4,5,4,0.105,571,7,1,Standard,Optional,Optional
7243,2013," C Class",C-CLASS,2013 Mercedes-Benz C-Class 4 DR RWD,5,4,5,4,0.105,571,7,1,Standard,Optional,Optional
7679,2013," CL Class",CL-CLASS,2013 Mercedes-Benz CL-Class 2 DR 4WD,,,,,0,1,0,0,Standard,Optional,Optional
7463,2013," CL Class",CL-CLASS,2013 Mercedes-Benz CL-Class 2 DR RWD,,,,,0,1,0,0,Standard,Optional,Optional
7680,2013," CLS Class",CLS-CLASS,2013 Mercedes-Benz CLS-Class 2 DR 4WD,,,,,0,4,3,1,Standard,Optional,Optional
7464,2013," CLS Class",CLS-CLASS,2013 Mercedes-Benz CLS-Class 2 DR RWD,,,,,0,4,3,1,Standard,Optional,Optional
