SOURCE_FILE,INGESTED_AT,MODEL_YEAR,NHTSA_MODEL,UK_MODEL,VEHICLE_ID,VEHICLE_DESCRIPTION,OVERALL_RATING,OVERALL_FRONT_CRASH_RATING,FRONT_CRASH_DRIVER_RATING,FRONT_CRASH_PASSENGER_RATING,OVERALL_SIDE_CRASH_RATING,SIDE_CRASH_DRIVER_RATING,SIDE_CRASH_PASSENGER_RATING,ROLLOVER_RATING,ROLLOVER_POSSIBILITY,SIDE_POLE_CRASH_RATING,ELECTRONIC_STABILITY_CONTROL,FORWARD_COLLISION_WARNING,LANE_DEPARTURE_WARNING,COMPLAINTS_COUNT,RECALLS_COUNT,INVESTIGATION_COUNT,NHTSA_MODEL_YEAR,NHTSA_MAKE,NHTSA_MODEL_FROM_RATING
nhtsa_safety_2016.json,2026-08-28 16:05:12.636,2016,GLA-CLASS," GLA Class",10790,2016 Mercedes-Benz GLA-Class 4 DR FWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Optional,Optional,51,4,2,2016,MERCEDES-BENZ,GLA-CLASS
nhtsa_safety_2016.json,2026-08-28 16:05:12.636,2016,GLA-CLASS," GLA Class",10789,2016 Mercedes-Benz GLA-Class 4 DR 4WD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Optional,Optional,51,4,2,2016,MERCEDES-BENZ,GLA-CLASS
nhtsa_safety_2016.json,2026-08-28 16:05:12.636,2016,GLC-CLASS," GLC Class",10792,2016 Mercedes-Benz GLC-Class 4 DR RWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Optional,Optional,139,12,2,2016,MERCEDES-BENZ,GLC-CLASS
nhtsa_safety_2016.json,2026-08-28 16:05:12.636,2016,GLC-CLASS," GLC Class",10791,2016 Mercedes-Benz GLC-Class 4 DR 4WD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Optional,Optional,139,12,2,2016,MERCEDES-BENZ,GLC-CLASS
nhtsa_safety_2016.json,2026-08-28 16:05:12.636,2016,GLE-CLASS," GLE Class",10212,2016 Mercedes-Benz GLE-Class SUV 4WD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,4,0.179,Not Rated,Standard,Optional,Optional,104,18,2,2016,MERCEDES-BENZ,GLE-CLASS
nhtsa_safety_2016.json,2026-08-28 16:05:12.636,2016,GLE-CLASS," GLE Class",10211,2016 Mercedes-Benz GLE-Class SUV RWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,4,0.198,Not Rated,Standard,Optional,Optional,104,18,2,2016,MERCEDES-BENZ,GLE-CLASS
nhtsa_safety_2016.json,2026-08-28 16:05:12.636,2016,S-CLASS," S Class",10787,2016 Mercedes-Benz S-Class 4 DR RWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Optional,Optional,29,7,2,2016,MERCEDES-BENZ,S-CLASS
nhtsa_safety_2016.json,2026-08-28 16:05:12.636,2016,S-CLASS," S Class",10786,2016 Mercedes-Benz S-Class 4 DR 4WD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Optional,Optional,29,7,2,2016,MERCEDES-BENZ,S-CLASS
nhtsa_safety_2016.json,2026-08-28 16:05:12.636,2016,SL-CLASS," SL CLASS",10801,2016 Mercedes-Benz SL-Class C RWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Optional,Optional,1,1,1,2016,MERCEDES-BENZ,SL-CLASS
nhtsa_safety_2004.json,2026-08-28 16:05:12.636,2004,C-CLASS," C Class",1204,2004 Mercedes-Benz C-Class 4-DR. w/SAB,Not Rated,Not Rated,4,4,Not Rated,5,5,Not Rated,0,Not Rated,Standard,No,No,77,4,0,2004,MERCEDES-BENZ,C-CLASS
